a,b,c,d,target
226,28,17,8,227
129,47,23,6,151
61,31,29,22,25
248,242,96,19,434.5
170,158,87,4,223
202,98,26,29,305.5
253,66,87,25,111.5
187,39,53,10,101
157,42,28,22,146
212,38,48,2,143
74,153,68,5,173.5
89,51,95,5,-96.5
34,165,28,3,278.5
164,76,89,15,41.5
85,115,41,12,186
174,24,50,23,60.5
104,206,35,7,407.5
234,208,16,7,598.5
134,180,97,14,196
205,173,58,23,365.5
99,50,54,18,28
75,210,90,0,225
110,55,54,17,49.5
25,128,55,30,101
163,141,72,1,228.5
84,92,77,8,33
122,244,45,26,462
80,151,28,19,288.5
170,104,39,27,247.5
247,126,56,1,330.5
73,90,81,18,1
146,243,59,24,443
248,251,53,25,578.5
94,211,79,20,269
31,121,21,26,197
46,132,72,23,82.5
234,36,29,28,205
104,130,78,13,123.5
200,216,86,2,373
86,189,14,21,411.5
27,220,56,14,292
85,140,100,0,65
154,204,83,25,300.5
189,118,11,13,385.5
252,124,55,2,334
41,110,39,11,138.5
135,30,45,2,59
160,151,100,22,151
62,89,23,25,158.5
