a,b,c,d,target
94,52,34,22,85
27,110,25,17,163.5
231,75,25,29,291.5
227,243,98,10,414
148,79,43,4,175
149,10,29,11,76.5
76,52,64,22,-23
139,24,28,14,96
170,96,54,8,196
23,193,76,8,177
101,164,38,13,308.5
165,79,86,8,61
234,70,81,9,126.5
179,204,29,25,487.5
157,85,40,9,202.5
196,57,33,16,203
107,207,68,6,314
71,150,49,9,219.5
114,38,62,19,-5.5
103,118,59,17,153.5
241,29,21,12,230
168,244,51,22,492
155,172,92,14,216
84,198,46,1,341.5
58,55,38,8,50
109,235,40,2,458
23,104,19,15,166.5
134,223,97,27,275.5
30,112,36,24,134
190,91,76,10,139
29,186,63,12,206
132,130,86,25,121.5
49,165,66,27,167.5
56,185,62,21,229.5
145,182,82,14,256
176,244,99,27,353.5
124,207,94,13,249.5
108,72,85,8,-7
114,90,91,0,21
165,247,12,30,608
48,213,52,13,311.5
35,33,36,30,-22
63,208,30,20,379
151,171,44,12,355
61,143,58,5,170.5
190,250,96,21,391.5
192,54,76,28,58
204,68,13,3,299.5
249,91,32,9,330.5
177,40,21,17,185.5
39,172,27,22,291
199,189,53,17,409.5
18,17,77,22,-190
207,57,90,1,50.5
180,65,25,27,221.5
185,11,68,1,2.5
31,128,54,13,118.5
222,41,71,16,83
160,164,49,15,333.5
53,166,40,18,256
196,53,51,20,139
21,32,15,13,33.5
26,154,87,21,62.5
83,162,60,0,227
108,65,19,3,179.5
245,148,44,23,397.5
119,76,97,26,-33
220,166,85,22,286
107,58,84,18,-38
197,198,43,23,452.5
95,54,12,9,162.5
115,13,59,13,-42.5
11,133,100,21,-33.5
240,202,74,4,420
116,169,56,20,276
144,218,60,2,399
103,245,36,12,479
133,220,20,7,509.5
125,106,24,23,253.5
216,113,55,3,275.5
124,137,76,25,157.5
204,226,89,18,380
17,154,38,28,197
198,251,46,21,551.5
36,232,10,13,463.5
140,235,35,23,493.5
71,195,39,0,344
15,31,74,18,-154
168,197,30,13,465.5
115,154,21,10,355
20,133,54,3,122.5
175,205,26,7,503.5
52,222,89,7,225.5
217,110,45,5,299.5
138,192,87,10,256
170,236,61,0,459
196,64,35,12,213
150,213,90,25,293.5
144,241,39,15,501.5
203,205,23,24,532
14,51,31,3,21.5
153,239,43,11,496.5
160,234,23,24,547
232,185,29,30,500
120,201,34,6,417
239,104,67,4,244
106,92,51,2,136
40,161,19,21,294.5
51,50,47,28,-4
238,78,73,19,165.5
56,209,93,5,192.5
196,202,33,12,495
191,165,13,21,471.5
111,36,63,7,-9.5
98,208,24,9,437.5
102,52,63,0,17
143,147,93,21,147.5
106,31,72,24,-60
200,235,29,5,580.5
213,154,81,26,265
88,18,76,18,-113
255,73,29,3,312.5
148,44,69,2,28
20,215,81,29,192.5
32,198,67,6,224
95,236,16,13,512.5
241,184,85,27,340.5
67,138,73,24,112
45,67,34,29,62.5
184,143,86,17,203.5
183,193,18,0,515
32,200,44,24,288
79,46,67,10,-35
98,217,29,19,435.5
131,42,86,14,-50
142,240,77,26,378
136,172,93,18,192
94,200,98,11,194.5
131,17,27,0,84
204,37,47,26,124
52,237,99,12,223
192,114,33,28,307
87,204,34,3,391.5
99,123,69,1,137.5
222,115,87,4,189
48,152,69,29,130.5
252,116,74,7,258.5
243,26,65,10,95
10,64,75,21,-97.5
21,24,98,5,-227.5
239,183,72,11,383.5
29,108,59,3,66.5
48,159,29,3,277.5
241,103,64,20,245
161,240,13,6,599
197,78,20,19,283.5
61,234,14,0,487
184,138,70,4,248
149,143,66,12,231
29,79,78,5,-49.5
86,150,33,26,274
92,75,42,8,112
27,87,43,17,63.5
59,103,35,6,157
28,68,95,26,-134
201,165,44,10,394
56,83,78,5,-14.5
254,113,65,9,280.5
236,209,96,20,356
26,114,28,30,155
59,116,32,10,190
161,157,21,21,401.5
16,173,70,14,145
201,148,12,8,457
86,154,69,15,179.5
141,127,78,16,153
89,53,56,23,15.5
62,174,36,4,300
178,152,73,6,260
162,15,99,7,-108.5
124,215,55,12,383
246,210,60,2,485
152,21,57,0,23
254,218,54,2,527
86,158,42,30,261
56,111,38,24,152
43,113,10,7,235.5
223,156,24,16,455
122,114,20,4,288
241,68,53,16,210
110,182,81,12,225
112,136,98,15,82.5
38,56,79,26,-100
137,99,43,15,198.5
94,90,55,4,107
203,121,23,16,368
86,229,35,1,438.5
56,241,75,14,306
146,93,73,28,99
241,220,61,28,484
159,130,79,0,182
110,30,12,5,131.5
222,44,41,23,175.5
178,19,49,30,54
71,243,30,9,462.5
60,243,44,29,399.5
242,94,13,29,376.5
135,59,13,28,200
45,10,39,10,-57
87,230,31,30,439
93,61,97,30,-91
143,164,24,24,387
27,69,95,28,-134
157,108,46,17,226.5
212,64,100,8,36
44,122,71,5,72.5
204,53,95,20,15
89,76,81,14,-9
214,29,76,30,29
30,252,36,1,425.5
18,148,13,11,269.5
216,229,38,30,545
53,104,44,24,117
251,252,29,28,654
96,102,36,1,191.5
17,220,83,22,197
38,255,14,8,502
160,247,80,5,411.5
150,188,25,5,448.5
130,224,78,30,329
71,15,26,11,17.5
71,50,42,24,33
190,164,26,6,437
233,24,89,21,3.5
60,200,14,26,405
172,159,54,21,317.5
211,149,75,26,271
32,141,60,13,127.5
236,212,53,9,496.5
110,66,82,20,-14
228,215,12,8,618
128,102,38,11,212.5
66,54,72,26,-55
92,12,36,6,5
110,103,86,14,51
239,193,18,6,568
104,186,11,27,429.5
217,186,96,16,293
237,241,32,14,616
94,154,74,2,179
121,216,39,15,428.5
85,61,24,24,123
148,189,56,27,344.5
255,124,58,24,317
204,122,93,30,154
110,58,55,21,50.5
176,118,74,28,176
10,214,66,15,232.5
234,143,71,21,296.5
178,198,97,2,282
228,61,57,20,169
15,12,32,21,-67.5
124,146,52,14,253
186,17,48,11,70.5
167,112,62,30,190
176,224,74,20,392
44,119,46,22,133
105,16,75,23,-99.5
67,48,40,18,34
114,23,68,24,-56
132,76,36,17,167.5
179,24,35,19,112.5
146,158,71,6,246
165,217,63,29,395.5
88,193,86,10,211
111,41,59,3,14.5
231,13,90,29,-27.5
54,115,48,11,134.5
220,127,34,20,362
102,86,93,10,-10
167,118,11,21,359.5
71,48,96,6,-124
72,121,65,18,110
181,106,61,13,203.5
179,142,66,14,258
126,136,16,6,347
127,64,53,12,90
78,156,41,28,253
79,39,17,21,95.5
192,24,26,18,153
178,48,54,22,101
69,185,12,16,395
250,255,13,5,718.5
25,15,72,7,-164.5
244,16,69,4,67
215,45,94,5,20.5
234,90,90,11,138.5
104,12,15,27,69.5
29,239,33,0,408
30,110,35,5,142.5
46,54,77,23,-88.5
176,215,34,4,502
93,156,12,23,357.5
120,135,55,23,213.5
193,158,95,19,214.5
145,135,100,14,108
135,169,68,27,255.5
86,239,17,8,509
134,100,84,2,81
24,117,81,15,7.5
11,104,75,21,-16.5
232,183,12,4,560
139,29,38,10,78
133,43,28,13,128.5
30,38,99,21,-201.5
52,84,80,19,-29.5
191,209,83,9,355.5
218,104,46,14,281
181,235,30,5,558.5
197,108,44,18,272
91,203,37,23,374.5
148,103,83,18,96
140,115,45,1,234.5
222,230,62,20,486
114,216,97,30,240
102,17,70,6,-77
129,186,25,8,422
208,201,49,7,459.5
158,26,65,5,12.5
248,156,93,18,272
69,27,11,4,88
198,17,21,1,168.5
39,143,53,15,158.5
160,188,89,30,254
18,61,73,20,-89
26,96,94,1,-64.5
241,157,93,10,271
250,150,39,25,420.5
40,229,80,13,251.5
176,26,74,3,4.5
114,187,95,9,198.5
162,215,54,28,416
199,215,40,24,497
221,68,100,24,45
245,14,57,0,102
24,91,84,1,-46.5
166,185,41,27,399.5
222,76,87,20,103
85,78,61,18,49
72,196,91,6,188
77,110,32,28,187
46,238,12,13,479.5
89,80,92,23,-38.5
36,60,83,7,-96.5
218,143,24,22,421
211,173,21,24,482
213,90,20,24,321
180,163,95,13,214.5
24,79,98,28,-126
227,251,86,10,466
240,154,75,25,310.5
213,16,46,14,100
143,137,29,12,324
201,167,39,10,413
95,234,98,19,259.5
103,75,75,5,25.5
66,168,66,5,201.5
234,125,92,21,197.5
89,184,24,6,382
130,188,57,26,322
18,245,66,19,300.5
41,50,89,18,-135
233,210,23,23,572.5
205,180,74,29,328.5
51,153,85,26,89
167,251,36,21,550.5
68,207,31,10,384
191,166,64,10,326
179,14,24,15,127.5
187,162,77,16,272
23,44,72,10,-110
23,220,27,10,377
12,238,35,27,369.5
103,91,85,3,28.5
56,105,40,25,133.5
199,190,72,25,350.5
212,42,45,28,147
67,233,94,19,241.5
41,217,25,18,391
166,240,45,16,503
29,21,58,0,-103
69,57,76,4,-47
106,234,53,17,406.5
15,143,96,18,4
67,231,94,2,246
122,78,81,29,20.5
139,63,72,9,44.5
45,29,73,6,-119
48,122,86,9,29.5
28,116,50,29,95.5
187,102,23,2,321
149,183,36,13,400.5
122,31,90,24,-98
78,99,99,3,-22.5
140,190,72,9,299.5
180,222,83,11,369.5
235,17,20,18,200
213,170,89,24,274
32,224,98,19,176.5
